company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date
Populr,Angel,USA,messaging,475000.0,,2011.0,operating,2011-10-01
MGT Capital Investments,Series D+,USA,finance,7389981.0,,1979.0,operating,2013-05-31
AirTouch Communications,Series A,USA,mobile,17506428.0,,2004.0,ipo,2011-08-30
Search Initiatives,Series A,USA,search,9430480.0,,2006.0,operating,2013-05-31
RIT TECHNOLOGIES LTD,Series A,ISR,network_hosting,17800185.0,,1989.0,operating,2013-10-07
Hemera Biosciences,Series A,USA,biotech,1299956.0,,2010.0,operating,2013-04-01
Ferevo,,USA,advertising,35000.0,,2012.0,operating,2013-04-01
INTRA CELLULAR THERAPIES,Series D+,USA,biotech,75289893.0,,2002.0,operating,2013-08-29
Acacia Interactive,Series A,USA,software,259910.0,,2012.0,operating,2013-03-29
Five Delta,Angel,USA,analytics,300000.0,,2012.0,operating,2013-05-31
AG&P,Series C,PHL,cleantech,144000000.0,2.0,,operating,2013-07-02
Exerscrip,Angel,USA,biotech,50000.0,,2010.0,operating,2013-03-28
Syndevrx,,USA,biotech,1610000.0,,2007.0,operating,2013-05-31
Lyncean Technologies,,USA,biotech,2190000.0,,2002.0,operating,2013-03-29
Adagio Medical,Series A,USA,medical,2500001.0,,2011.0,operating,2013-03-29
Dream Village,Angel,,other,10000.0,,2008.0,closed,2008-11-01
Allegory Law,Angel,USA,education,550000.0,,2011.0,operating,2013-03-27
Cynapsus Therapeutics,Series A,CAN,biotech,5063959.0,,2004.0,operating,2013-03-27
American Addiction Centers,Series A,USA,biotech,6838000.0,,,ipo,2013-03-29
Peeractive,,USA,ecommerce,1135000.0,,2009.0,operating,2013-03-29
Nortis,Angel,USA,biotech,427500.0,,2007.0,operating,2013-03-27
Applaud,,USA,social,125000.0,,2009.0,operating,2013-03-26
Visus Technology,,USA,biotech,150000.0,,,operating,2013-03-29
Intrapace,Series A,USA,biotech,129322827.0,4.0,2001.0,operating,2013-08-26
MulliganPlus,Angel,GBR,web,10000.0,,2007.0,operating,2008-01-14
SafeStitch,Series D+,USA,biotech,178692055.0,,2005.0,operating,2013-09-16
Parallax Enterprises,Angel,USA,enterprise,1000000.0,,2011.0,operating,2013-03-25
ReconRobotics,,USA,hardware,352500.0,,2006.0,operating,2013-11-12
Surgimatix,Series A,USA,medical,120377.0,,2007.0,operating,2013-03-29
Silicon Kinetics,Series A,USA,biotech,2872821.0,,2002.0,operating,2013-03-25
Blockade Medical,Series A,USA,medical,5125120.0,,2011.0,operating,2013-03-25
Edge Therapeutics,Series C,USA,biotech,18338000.0,1.0,2009.0,operating,2013-06-04
MetaModix,Series A,USA,medical,1738750.0,,2009.0,operating,2013-03-28
Brain Synergy Institute,Series A,USA,biotech,4375802.0,,2012.0,operating,2013-11-14
Vanquish Oncology,Series A,USA,biotech,2369000.0,,2011.0,operating,2013-03-25
SnapMD,Angel,USA,medical,600000.0,2.0,2013.0,operating,2013-08-15
BioDrain Medical,Angel,USA,medical,775000.0,,2002.0,operating,2013-03-25
LightArrow,Angel,USA,mobile,1000000.0,,2010.0,operating,2013-03-22
Mr. Youth,Series A,USA,advertising,15100000.0,2.0,2002.0,acquired,2009-02-01
Aehr Test Systems,Angel,USA,hardware,1158000.0,,1977.0,operating,2013-03-28
Kumu Networks,Series B,USA,mobile,20425630.0,3.0,2011.0,operating,2013-10-31
INRange Systems,Series A,USA,biotech,11449095.0,,2002.0,operating,2011-01-07
DBJ Financial Services,Angel,,other,115000.0,1.0,2008.0,operating,2009-04-23
Element Works,Angel,,cleantech,35000.0,1.0,2008.0,operating,2008-05-08
Wunsch-Brautkleid,,DEU,ecommerce,203283.0,3.0,2012.0,operating,2013-08-26
Quantified Impressions,,USA,public_relations,550000.0,,2011.0,operating,2013-12-04
Kiwup,Angel,FRA,network_hosting,130000.0,1.0,2013.0,operating,2013-06-01
Ambient Industries,Angel,,software,900000.0,2.0,2008.0,operating,2010-02-01
Movable,Series A,USA,hardware,2045000.0,5.0,2011.0,operating,2013-06-04
IPXI,Series A,USA,finance,10000000.0,2.0,,operating,2011-12-13
Talentwise,Series D+,USA,enterprise,25000000.0,,2006.0,operating,2013-06-11
ForwardMetrics,Angel,USA,software,1000000.0,,2012.0,operating,2013-07-22
Zions Bancorporation,,USA,finance,87900000.0,,,operating,2013-09-13
Netseer,Series A,USA,advertising,14400000.0,2.0,2006.0,operating,2010-12-01
Qwell Pharmaceuticals,Series A,,biotech,7000000.0,2.0,,operating,2009-01-06
Resource Capital,,USA,real_estate,45900000.0,,2005.0,operating,2013-06-03
Graphene Energy,Angel,,cleantech,500000.0,1.0,,operating,2009-01-13
BYTEGRID,,USA,security,100000000.0,1.0,2010.0,operating,2013-06-03
Future Simple,Series A,,,1459410.0,1.0,,operating,2011-02-07
Mind Pirate,Series A,USA,games_video,2500000.0,2.0,2012.0,operating,2013-07-11
Bragster,Series A,GBR,web,3500000.0,2.0,2007.0,acquired,2008-02-13
Novaled,Series A,DEU,cleantech,32466630.0,14.0,,acquired,2011-09-28
Catchafire,Series A,USA,web,399984.0,,2009.0,operating,2010-05-20
Appsco,Angel,NOR,software,500000.0,5.0,2013.0,operating,2013-09-01
tado°,Series A,DEU,cleantech,2600000.0,2.0,2011.0,operating,2013-09-05
Sorrento Therapeutics,,USA,biotech,40268495.0,,2006.0,ipo,2013-10-25
Integrity Applications,Series A,ISR,medical,7455399.0,,1999.0,operating,2013-03-28
Dragon Innovation,,USA,hardware,2145000.0,4.0,2006.0,operating,2013-08-08
My Healthy World,Angel,USA,health,6000.0,,,operating,2013-03-28
Neurelis,,USA,biotech,2783950.0,,2007.0,acquired,2011-10-03
Factery,Series A,USA,web,1200000.0,2.0,2009.0,closed,2009-09-10
Spyder Lynk,Series A,USA,mobile,2300000.0,,2005.0,operating,2013-03-28
regroup therapy,Angel,USA,health,100000.0,,2011.0,operating,2013-03-28
Housing.com,Series A,,real_estate,2500000.0,1.0,2012.0,operating,2013-06-04
Kurve Technology,Series A,USA,medical,610000.0,,2001.0,operating,2013-03-28
Brisk.io,Angel,SWE,enterprise,1200000.0,2.0,2012.0,operating,2013-06-04
Micromem Technologies,,CAN,hardware,877000.0,,1969.0,operating,2013-03-28
Bandhappy,,USA,music,185000.0,,2008.0,operating,2013-03-28
Handshake,Series A,USA,mobile,1500000.0,6.0,2010.0,operating,2013-06-04
WorkTouch,Angel,GBR,other,31500.0,,2012.0,operating,2012-10-01
StartBull,Angel,COL,social,90000.0,,2012.0,operating,2013-06-01
ProtoGeo,Series A,FIN,mobile,1600000.0,3.0,2012.0,operating,2013-01-01
HealthcareMagic,Series A,IND,web,2500000.0,1.0,2008.0,operating,2009-02-12
GMH Ventures,Series A,USA,other,2545000.0,,2008.0,operating,2012-01-11
Goodybag,Angel,USA,hospitality,1300000.0,,,operating,2012-05-01
Mattermark,Angel,USA,other,1400000.0,13.0,2013.0,operating,2013-07-01
DUHEM,Angel,PER,ecommerce,50000.0,,2012.0,operating,2012-07-01
Genetix Fusion,,,biotech,50000.0,1.0,,operating,2013-05-14
Grooblin,Angel,FRA,software,200000.0,2.0,2012.0,operating,2012-10-23
AREVS,Angel,USA,software,100000.0,,2012.0,operating,2013-01-31
Versium Analytics,Series A,USA,analytics,2500000.0,1.0,2012.0,operating,2013-09-09
BigTip,,USA,ecommerce,475000.0,,2010.0,operating,2011-02-28
Scoreloop,Series B,DEU,games_video,2800000.0,3.0,,acquired,2009-08-18
HouseTab,Series A,USA,mobile,362500.0,5.0,2011.0,operating,2013-09-26
Ikanos,Series A,USA,enterprise,42000000.0,1.0,2009.0,ipo,2009-04-25
Demandware,Series C,USA,enterprise,50100002.0,2.0,2004.0,ipo,2010-04-14
Qreativ Studio,Angel,USA,web,15000.0,1.0,,operating,2012-03-01
Needle HR,Angel,CAN,web,80000.0,1.0,2013.0,operating,2013-05-01
DiaTech Oncology,Series D+,USA,biotech,18000000.0,,,operating,2013-06-04
TellWise,Series A,USA,enterprise,3000000.0,2.0,,operating,2013-06-27
Resonate Networks,Series D+,USA,news,29000000.0,5.0,2008.0,operating,2012-03-01
Riskonnect,Series D+,USA,enterprise,10000000.0,1.0,2007.0,operating,2013-06-04
Boutique Window,Angel,USA,web,650000.0,2.0,2012.0,operating,2013-06-04
WeBRAND,Angel,USA,public_relations,450000.0,,2012.0,operating,2013-04-15
Flossonic,Series D+,GBR,biotech,192437.0,1.0,,operating,2013-06-04
Karma Gaming,Series A,GBR,games_video,5000000.0,4.0,2010.0,operating,2013-09-11
Union College,,USA,education,1500000.0,,,operating,2013-09-06
Virtuix,Angel,USA,web,300000.0,,2013.0,operating,2013-06-04
Porch,Series A,USA,web,14459465.0,7.0,2012.0,operating,2013-09-13
Ubiquity Broadcasting Corporation,Series A,USA,news,8428250.0,,2007.0,operating,2013-11-01
Altiostar Networks,Series D+,USA,mobile,60500002.0,,2011.0,operating,2013-08-26
Roomixer,Angel,ISR,advertising,500000.0,,2012.0,operating,2013-02-01
Bozuko,Series A,USA,games_video,346000.0,,,operating,2011-04-12
klinify,Angel,SGP,mobile,40000.0,2.0,2011.0,operating,2013-01-29
ColdWatt,Series B,USA,,16000000.0,4.0,2004.0,operating,2006-01-12
Jaypore,Angel,IND,ecommerce,375000.0,2.0,2012.0,operating,2011-09-04
1calendar,Angel,DNK,software,40000.0,,2009.0,operating,2008-04-04
Infochimps,,USA,enterprise,5350000.0,5.0,2009.0,acquired,2013-06-04
StratusLIVE,Series D+,USA,software,2300000.0,,,operating,2013-06-14
Logopro,Series A,ITA,design,148775.0,1.0,,acquired,2010-03-01
Atlanta Micro,Series A,USA,ecommerce,1500000.0,,2011.0,operating,2013-06-03
Gema,Series A,USA,biotech,2665127.0,,2005.0,operating,2013-03-27
Signpath Pharma,Series A,USA,biotech,1580000.0,,2006.0,operating,2013-03-22
profectus health research,,USA,biotech,480000.0,,,operating,2013-03-21
Integrated biometrics,Series A,USA,other,2395501.0,,2002.0,operating,2013-03-27
Safe N Clear,Series A,USA,web,25000.0,,2012.0,operating,2013-03-21
FUNGO STUDIOS,Series A,ITA,games_video,217320.0,1.0,2011.0,operating,2011-07-01
Guerrilla RF,Angel,,semiconductor,50000.0,,2013.0,operating,2013-05-05
ChangePanda,Angel,IRL,other,300000.0,,2011.0,operating,2013-06-03
Companion Pharma,,USA,biotech,110000.0,2.0,2012.0,operating,2012-08-01
Apse,,USA,biotech,667139.0,1.0,2011.0,operating,2013-10-29
WHILL,Series A,USA,hardware,1701500.0,9.0,2012.0,operating,2013-10-18
SnowGate,Series A,USA,security,410000.0,1.0,2012.0,operating,2013-06-10
Brandtology,Series A,SGP,web,3350000.0,1.0,,acquired,2013-05-23
KIS Group,Angel,USA,photo_video,150000.0,,2012.0,operating,2012-01-01
Oddcast,Series C,USA,web,4000000.0,2.0,1999.0,operating,2006-06-13
Ipanema Technologies,Series B,FRA,software,7000000.0,1.0,1999.0,operating,2008-08-18
Edumedics,Series A,USA,biotech,1052713.0,,2011.0,operating,2013-06-03
Guided Therapeutics,Series A,USA,biotech,2527001.0,,1992.0,operating,2013-06-03
Harbor MedTech,Series A,USA,biotech,806733.0,,2010.0,operating,2013-05-31
Breather,Series A,CAN,hospitality,1500000.0,,2012.0,operating,2013-07-29
ProPerforma,,CAN,fashion,2250000.0,,2005.0,operating,2013-06-03
N-of-One,,USA,biotech,748955.0,,2008.0,operating,2012-04-30
Ayla Networks,Series A,USA,hardware,10900000.0,2.0,2010.0,operating,2013-06-05
LiveSafe,Series A,USA,social,498000.0,1.0,2012.0,operating,2013-11-25
Edimer Pharmaceuticals,Series B,USA,biotech,18000000.0,1.0,2009.0,operating,2013-07-30
OMsignal,Angel,CAN,hardware,1000000.0,3.0,2011.0,operating,2013-06-05
AgeneBio,Series A,USA,biotech,6138723.0,,2008.0,operating,2013-11-18
AVM Biotechnology,Series A,USA,biotech,708000.0,,2008.0,operating,2013-06-03
BitSight Technologies,Series A,USA,analytics,25035000.0,5.0,2011.0,operating,2013-06-05
Instacover,Angel,GBR,finance,763595.0,,,operating,2012-07-24
Psydex,Series A,,web,3500000.0,,,operating,2009-04-21
Healthation,Series B,USA,finance,14000000.0,3.0,2002.0,operating,2013-06-05
Babberly,Angel,USA,social,125000.0,1.0,2012.0,operating,2012-09-01
Gobstopper,Series A,USA,education,1800000.0,5.0,,operating,2013-10-08
Sutherland Global Services,Series A,USA,software,30000000.0,1.0,1986.0,operating,2006-03-28
N3TWORK,Series A,,web,12000000.0,3.0,2013.0,operating,2013-06-05
WeMonitor,Series A,USA,hardware,5300000.0,1.0,2013.0,operating,2013-06-05
Advanced Catheter Therapies,Series B,USA,biotech,3000000.0,,2008.0,operating,2013-06-05
Milo,Series A,USA,web,4950000.0,18.0,2008.0,acquired,2009-11-24
NextUser,Angel,USA,analytics,1250000.0,2.0,2011.0,operating,2013-11-10
KUROBE PHARMACEUTICALS,Series A,USA,biotech,5000000.0,,2012.0,operating,2013-06-04
Reading Trails,Angel,,web,5001.0,,2008.0,operating,2008-01-01
Novadiol,,USA,biotech,150000.0,,2012.0,operating,2013-06-04
Blood cell Storage,,USA,biotech,2375000.0,,,operating,2012-05-14
Pure life renal,,USA,biotech,500000.0,,2013.0,operating,2013-06-04
Parent Media Group,Series D+,USA,advertising,2900369.0,3.0,2006.0,operating,2012-06-08
LegalZoom,Series B,USA,legal,66000000.0,2.0,1999.0,operating,2011-07-24
ImmunGene,Series A,USA,biotech,9000000.0,1.0,2007.0,operating,2013-11-07
Qype,Series B,DEU,web,23084124.0,4.0,2005.0,acquired,2010-11-23
Critical Diagnostics,Series A,USA,biotech,2566676.0,,2004.0,operating,2013-03-26
5to1,Series A,,advertising,12809736.0,3.0,2009.0,acquired,2010-11-10
HealthSynch,,GBR,biotech,925000.0,,2012.0,operating,2013-03-22
Healthy Stove,Angel,USA,ecommerce,75000.0,,2011.0,operating,2012-02-01
Mitomics,,CAN,biotech,2077050.0,,2001.0,operating,2013-09-26
404 Found!,Series A,,public_relations,6246800.0,3.0,1997.0,operating,2000-07-01
GEOFEEDIA,Series A,USA,analytics,1199000.0,,2012.0,operating,2013-03-21
FONU2,,USA,finance,550000.0,,2009.0,operating,2013-11-21
Busca Corp,Series C,USA,games_video,5000000.0,,2007.0,operating,2012-01-01
3D FUTURE VISION II,Series A,USA,games_video,503000.0,,2011.0,operating,2013-03-21
HEXIO,Angel,USA,other,20000.0,1.0,2008.0,operating,2008-01-10
Oculeve,Series A,USA,biotech,15655476.0,2.0,2011.0,operating,2013-03-21
MicroQuant,Series A,USA,analytics,740000.0,,2008.0,operating,2013-03-22
Utah Surgery Center,Series A,USA,medical,313250.0,,,operating,2013-03-21
SIRONA BIOCHEM,Series A,CAN,biotech,24295.0,,2006.0,operating,2013-03-21
EAP Technology Systems,Series A,USA,software,275000.0,,1999.0,operating,2013-03-20
ReNew Power,Series A,IND,cleantech,135000000.0,1.0,2011.0,operating,2013-06-05
Clinical Healthcare,Angel,USA,medical,150000.0,,2009.0,operating,2013-03-21
CorCardia,,USA,medical,85000.0,,2010.0,operating,2013-03-21
Remedy Partners,Series A,USA,health,20450000.0,,2011.0,operating,2013-03-20
VII NETWORK,Series A,USA,software,1555124.0,,2007.0,closed,2013-05-30
InView Technology,Series A,USA,hardware,249999.0,,2009.0,operating,2012-04-06
Flipiture,Angel,USA,photo_video,611347.0,,2011.0,operating,2013-03-21
Mobisante,Series A,USA,medical,4200000.0,1.0,2009.0,operating,2013-06-05
LTG Federal,Angel,USA,network_hosting,18150.0,,2011.0,operating,2013-03-19
INFUSD,,USA,web,100000.0,,2011.0,operating,2013-03-21
Targovax,Series A,NOR,biotech,3600000.0,3.0,2010.0,operating,2013-06-06
Adduplex,Angel,LTU,advertising,500000.0,1.0,2011.0,operating,2013-06-06
Netatmo,Series A,FRA,mobile,5789700.0,3.0,2011.0,operating,2013-06-06
RessQ Technologies,Series A,USA,software,868050.0,,2009.0,operating,2013-03-21
Exaptive,,USA,analytics,80000.0,,2011.0,operating,2013-03-21
VALIANT HEALTH,Series A,USA,health,750000.0,,2011.0,operating,2013-03-21
NEWLINE SOFTWARE,Series A,USA,software,325000.0,,2008.0,operating,2013-03-14
NitroCell BioSciences,Series A,USA,biotech,630000.0,,,operating,2013-03-21
RECOMBINETICS,Series A,USA,biotech,2035000.0,,2008.0,operating,2013-08-08
BUSINESS OWNERS ADVANTAGE,,USA,software,1175000.0,,2009.0,operating,2013-03-14
TheFormTool,Series A,USA,software,225000.0,,2012.0,operating,2013-03-21
Vidatronic,Series A,USA,semiconductor,1250500.0,,2010.0,operating,2013-03-21
JusticeBox,Angel,,legal,150000.0,,2011.0,operating,2011-05-28
Cuyana,Series A,USA,ecommerce,2550000.0,1.0,2013.0,operating,2013-06-06
Propers,Angel,USA,social,25000.0,,2013.0,operating,2013-04-01
imagoo,Angel,USA,web,1200000.0,,2012.0,operating,2013-06-06
ShareMagnet,Angel,USA,advertising,500000.0,2.0,2010.0,operating,2012-07-01
Rockerbox,Angel,USA,advertising,40000.0,1.0,2013.0,operating,2013-06-03
Piiku,Angel,USA,advertising,949350.0,1.0,2011.0,operating,2013-07-23
Nutmeg Education,Angel,USA,web,40000.0,1.0,2011.0,operating,2013-06-03
Metropolist,Angel,USA,hospitality,140000.0,1.0,2012.0,operating,2013-06-03
Machinio,Angel,USA,ecommerce,440000.0,4.0,2013.0,operating,2013-07-01
Gigzolo,Angel,USA,enterprise,40000.0,1.0,2012.0,operating,2013-06-03
CartRescuer,Angel,USA,ecommerce,120000.0,,2013.0,operating,2013-02-03
SomaLogic,Series D+,USA,biotech,10000000.0,,1999.0,operating,2013-08-21
Escapia,Series A,USA,software,3600000.0,3.0,2000.0,acquired,2009-06-24
IMshopping,Series A,USA,ecommerce,4700000.0,,,operating,2009-04-29
Stellarray,Angel,USA,other,750000.0,1.0,2007.0,operating,2008-07-15
Kimera Systems,Series A,USA,mobile,70000.0,,2012.0,operating,2012-07-20
.Club Domains,Series B,USA,software,7000000.0,,2011.0,operating,2013-05-31
Acera Surgical,Angel,USA,medical,600000.0,1.0,2013.0,operating,2013-08-08
Amphora Medical,Series A,USA,biotech,600000.0,,2011.0,operating,2013-06-05
Aneumed,Series A,USA,biotech,1110000.0,,2013.0,operating,2013-06-05
Ativa Medical,,USA,biotech,3533014.0,,2008.0,operating,2013-06-05
SurgeryEdu,Angel,USA,mobile,5000.0,1.0,2013.0,operating,2013-08-01
Linq3,Series A,USA,enterprise,12000000.0,,2007.0,operating,2013-06-05
Point.io,Series A,USA,enterprise,2250000.0,,2013.0,operating,2013-11-22
Insignia Technologies,Angel,GBR,hospitality,1310692.0,4.0,2012.0,operating,2013-10-30
Starfish 360,Angel,GBR,web,333355.0,2.0,2010.0,operating,2013-06-06
Sitedesk,Angel,GBR,real_estate,659134.0,2.0,2011.0,operating,2013-06-06
Salesforce Radian6,Series B,CAN,web,9000000.0,3.0,2006.0,acquired,2008-12-01
Springshot,Series A,USA,mobile,1600000.0,,2011.0,operating,2013-06-06
GumGum,Series C,USA,advertising,10825000.0,4.0,2007.0,operating,2011-10-24
Henable,Series A,ITA,mobile,37833.0,1.0,,operating,2012-09-01
20lines,Angel,ITA,web,365893.0,1.0,2012.0,operating,2013-06-25
Dashbell,Angel,USA,travel,1053000.0,16.0,2012.0,operating,2013-06-01
Eyeonplay,Series A,ITA,web,19791.0,1.0,2013.0,operating,2013-01-01
Sellf,Angel,ITA,mobile,128660.0,2.0,2013.0,operating,2013-08-28
iCentris,Series C,USA,software,3371350.0,,2000.0,operating,2011-07-11
Kunerango,Series A,ITA,education,39582.0,1.0,2013.0,operating,2013-01-01
Appiphany,Angel,USA,mobile,200000.0,1.0,2012.0,operating,2012-07-01
Zwipe,Series A,NOR,mobile,3500000.0,,2009.0,operating,2013-12-10
HipCricket,Series A,USA,,9550000.0,,2004.0,acquired,2013-10-15
PasswordBox,Series A,USA,security,6000000.0,4.0,2012.0,operating,2013-11-13
Needly,Angel,USA,advertising,987500.0,,2010.0,operating,2013-08-21
TapCommerce,Series A,USA,mobile,11700000.0,5.0,2012.0,operating,2013-11-21
Metreos Corporation,Series A,USA,software,4355000.0,3.0,2001.0,acquired,2004-10-14
First Cut Pro,Series A,USA,games_video,100000.0,2.0,2012.0,operating,2013-04-30
Xiam,Series A,IRL,mobile,1221900.0,2.0,,acquired,2004-08-15
Plenummedia,Series B,ESP,news,10500000.0,1.0,2009.0,operating,2013-09-30
Sonos,Series A,USA,mobile,323950000.0,5.0,2002.0,operating,2013-11-06
SinDelantal.Mx,Series A,MEX,hospitality,3216500.0,1.0,2012.0,operating,2013-07-18
Active Endpoints,Series A,USA,enterprise,22500000.0,3.0,2003.0,operating,2010-09-21
Piczo,Series C,USA,network_hosting,11000000.0,2.0,1990.0,acquired,2007-01-01
Birst,Series C,USA,enterprise,64000000.0,4.0,2004.0,operating,2013-08-20
Startup Weekend,,USA,social,1250000.0,1.0,2007.0,operating,2011-11-07
TripleTree,Series D+,USA,finance,3200000.0,,1997.0,operating,2013-06-07
Ushahidi,,,nonprofit,2095740.0,4.0,2008.0,operating,2009-12-01
WebMediaBrands,Series D+,USA,web,6483366.0,,1998.0,operating,2011-05-25
Eucalyptus Systems,Series C,USA,enterprise,55500000.0,4.0,2009.0,operating,2012-04-18
Pathflow,Angel,ITA,analytics,173691.0,3.0,2013.0,operating,2013-08-25
Wote,Series A,,web,19791.0,1.0,2013.0,operating,2013-01-01
Wattpad,Series A,CAN,web,20800000.0,8.0,2006.0,operating,2012-09-18
Hotchalk,Series A,USA,web,5000000.0,1.0,2004.0,operating,2008-01-28
MyCityFaces,Angel,USA,advertising,50000.0,,2007.0,operating,2008-01-01
Boreal Genomics,Series C,USA,biotech,24499999.0,2.0,2007.0,operating,2013-10-04
LoggedIn,Series D+,UGA,social,2000.0,2.0,2013.0,operating,2013-06-08
Taggs,Angel,USA,public_relations,50000.0,1.0,2013.0,operating,2013-03-01
citibuddies,Angel,ARG,web,45000.0,2.0,2012.0,operating,2013-03-01
Eclipse Market Solutions,Angel,USA,analytics,1200000.0,,2011.0,operating,2011-01-01
ChicBaby.com,Angel,GBR,ecommerce,250000.0,1.0,2009.0,operating,2013-06-15
Snap Technologies,Series A,USA,web,10000000.0,2.0,2004.0,operating,2005-07-01
Wally,Angel,ARE,finance,400000.0,,2013.0,operating,2013-06-01
TwoFish,Series B,USA,ecommerce,9500000.0,3.0,2006.0,acquired,2008-10-10
Piqniq,Angel,HUN,mobile,27000.0,1.0,2013.0,operating,2013-06-10
Microco.sm,,GBR,web,151525.0,1.0,2012.0,operating,2013-09-05
PowerDsine,,,,7000000.0,1.0,,acquired,2001-07-01
nGage Labs,Series B,USA,software,20876578.0,2.0,2011.0,operating,2013-07-23
Community Informatics,Angel,USA,enterprise,125000.0,,2012.0,operating,2013-04-10
Internet Identity,Series A,USA,security,8000000.0,1.0,1997.0,operating,2013-11-05
Everpath,Angel,USA,software,950000.0,4.0,2013.0,operating,2013-11-19
Clicks2Customers,Series A,ZAF,web,3700000.0,1.0,2003.0,operating,2007-01-15
Fetch MD,Angel,USA,health,25000.0,1.0,2013.0,closed,2013-06-07
Mount Wachusett Community College,,USA,education,7090000.0,1.0,1963.0,operating,2013-09-19
Cerus Endovascular,Series A,GBR,biotech,2272877.0,2.0,2011.0,operating,2013-06-06
kinkon,Angel,DEU,web,995625.0,3.0,2008.0,closed,2009-04-30
CRIX Labs,Angel,USA,software,100000.0,1.0,,operating,2013-06-06
Smart Patients,Angel,,web,100000.0,,,operating,2013-06-09
Third Brigade,Series B,,security,16230000.0,4.0,,acquired,2005-12-08
Tornado Medical Systems,Series A,CAN,biotech,9843089.0,,2010.0,operating,2013-03-13
Innovega,,USA,hardware,1000000.0,,2008.0,operating,2013-03-14
Refresh Body,,USA,health,50000.0,,2006.0,operating,2013-03-13
Neurotrope Bioscience,Series A,USA,biotech,22980000.0,,2012.0,operating,2013-10-21
IntelliWare Systems,,USA,security,1227795.0,,2005.0,operating,2013-03-13
Creation Technologies,Series A,CAN,other,1216888.0,,1991.0,operating,2013-06-27
Leap4Life Global,,USA,,1800000.0,,2013.0,operating,2013-03-13
Piqqual,Series A,USA,semiconductor,1000000.0,,2009.0,operating,2011-01-04
Electronic Compute Systems,Angel,USA,hardware,385000.0,,1997.0,operating,2009-04-30
Cigital,Series D+,USA,consulting,50000000.0,1.0,1992.0,operating,2013-10-01
CBA PHARMA,Series A,USA,biotech,5300486.0,,1999.0,operating,2013-06-05
SunStream Networks,,USA,enterprise,284999.0,,2007.0,operating,2013-06-07
JumpCloud,Series A,USA,enterprise,1200000.0,,,operating,2012-12-20
BioKier,,USA,biotech,985000.0,,2008.0,operating,2013-07-19
Qualnetics,Series A,USA,hardware,441613.0,,2003.0,operating,2013-06-07
Kingland Companies,Series A,USA,software,1113147.0,,1992.0,operating,2013-06-05
Pervasive Health,,USA,analytics,2993787.0,,2011.0,operating,2013-06-07
PMW Technologies,Series A,USA,software,56990480.0,,2001.0,operating,2013-11-12
BIO Wellness,Series A,USA,biotech,752000.0,,2011.0,operating,2013-06-05
LiquidWare Labs,Angel,USA,software,1000000.0,,2009.0,operating,2013-06-05
Parkt,Angel,USA,travel,83745.0,,2011.0,operating,2013-03-13
Ciao Telecom,Series B,USA,hardware,2042000.0,,2011.0,operating,2012-06-01
JDP Therapeutics,Series A,USA,biotech,375000.0,,2008.0,operating,2013-06-05
AvanSci Bio,Angel,USA,analytics,800000.0,,2011.0,operating,2013-03-13
Angiocrine Bioscience,Series A,USA,biotech,3999999.0,,2012.0,operating,2013-03-13
Smart Picture Technologies,Series A,USA,analytics,175000.0,,2012.0,operating,2013-06-05
Improveit! 360,Series A,USA,software,2000000.0,,2000.0,operating,2013-03-14
Banyan Branch,Series A,USA,news,1700000.0,8.0,2007.0,operating,2011-10-03
ConnectQuest,Series A,USA,mobile,1250030.0,,2009.0,operating,2013-02-12
Recognition PRO,Angel,USA,software,415000.0,3.0,2010.0,operating,2012-12-31
Anki,Series A,USA,hardware,50000000.0,3.0,2010.0,operating,2013-06-01
Dispop,Angel,USA,advertising,725000.0,2.0,2013.0,operating,2013-06-11
Elevation Lab,,USA,manufacturing,1450000.0,,,operating,2012-02-11
Filmzu,Angel,USA,social,50000.0,1.0,2012.0,operating,2012-09-10
AmpliMed Corporation,Series A,USA,biotech,6604443.0,,1989.0,operating,2010-01-06
AbGenomics,Series A,USA,biotech,26450000.0,,2000.0,operating,2013-07-18
PTS Consulting,Series D+,GBR,consulting,13182688.0,1.0,1983.0,operating,2013-10-08
Tiki,Series B,VNM,ecommerce,1000000.0,1.0,2010.0,operating,2013-08-27
Booodl,Series A,AUS,web,200000.0,5.0,2012.0,operating,2013-05-01
EnduroPacks,Angel,USA,games_video,100000.0,,2013.0,operating,2013-06-01
Tekmi,Angel,RUS,messaging,1000000.0,2.0,2010.0,operating,2011-03-01
FreeWheel,Series A,USA,enterprise,37049998.0,4.0,2007.0,operating,2012-10-01
nCino,Series A,USA,finance,9000005.0,5.0,2012.0,operating,2013-06-11
Compass Quality Insight Inc.,Series A,USA,software,2000000.0,2.0,2012.0,operating,2013-06-11
borro,Series A,GBR,finance,40623276.0,6.0,2008.0,operating,2012-10-11
Markafoni,Series A,TUR,ecommerce,7500000.0,,2008.0,acquired,2010-03-15
Evolent Health,Series B,USA,health,100000000.0,,2011.0,operating,2013-09-30
Bunch,Series A,CAN,network_hosting,1000000.0,,,operating,2013-06-19
Tempolib,Angel,FRA,mobile,235800.0,,2009.0,closed,
Optyn,Angel,USA,advertising,20000.0,1.0,2013.0,operating,2013-05-01
OfferSavvy,Angel,USA,web,300000.0,3.0,2012.0,operating,2013-10-23
Qifang,Angel,CHN,web,200000.0,,2007.0,closed,2007-01-01
